respondent,lineage,expertise,rhythm_gen0,rhythm_gen1,symbol_gen0,symbol_gen1,tension_gen0,tension_gen1,comp_g0,comp_g1,d_comp
1,t1a,intermediate,6,6,5,6,5,6,5.333333333333333,6.0,0.666666666666667
2,t1b,intermediate,5,6,5,5,5,6,5.0,5.666666666666667,0.666666666666667
3,t2a,amateur,6,6,5,6,6,7,5.666666666666667,6.333333333333333,0.6666666666666661
4,t2b,intermediate,6,6,5,6,5,6,5.333333333333333,6.0,0.666666666666667
5,t1b,intermediate,7,6,7,7,6,7,6.666666666666667,6.666666666666667,0.0
6,t3a,intermediate,6,6,6,7,6,7,6.0,6.666666666666667,0.666666666666667
7,t3b,expert,6,7,6,7,6,6,6.0,6.666666666666667,0.666666666666667
8,t2a,expert,6,6,6,7,6,6,6.0,6.333333333333333,0.33333333333333304
9,t2b,expert,7,7,6,7,6,7,6.333333333333333,7.0,0.666666666666667
10,t3a,intermediate,6,7,7,7,6,7,6.333333333333333,7.0,0.666666666666667
11,t3b,intermediate,7,7,7,7,7,7,7.0,7.0,0.0
12,t1a,expert,6,6,7,7,6,6,6.333333333333333,6.333333333333333,0.0
