lineage,round,theme,n,tension,symbol,rhythm,tension_sd,symbol_sd,rhythm_sd,C
t1a,gen0,autumn departure,2,5.5,6.0,6.0,0.7071067811865476,1.4142135623730951,0.0,0.19322339239004394
t1a,gen1,autumn departure,2,6.0,6.5,6.0,0.0,0.7071067811865476,0.0,0.4249691001551758
t1b,gen0,autumn departure,2,5.5,6.0,6.0,0.7071067811865476,1.4142135623730951,1.4142135623730951,0.19322339239004394
t1b,gen1,autumn departure,2,6.5,6.0,6.0,0.7071067811865476,1.4142135623730951,0.0,0.4295435804073772
t2a,gen0,urban night solitude,2,6.0,5.5,6.0,0.0,0.7071067811865476,0.0,0.19729477026876482
t2a,gen1,urban night solitude,2,6.5,6.5,6.0,0.7071067811865476,0.7071067811865476,0.0,0.5362185169341761
t2b,gen0,urban night solitude,2,5.5,5.5,6.5,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.1863278041845927
t2b,gen1,urban night solitude,2,6.5,6.5,6.5,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.6340741147877272
t3a,gen0,memory and water,2,6.0,6.5,6.0,0.0,0.7071067811865476,0.0,0.4249691001551758
t3a,gen1,memory and water,2,7.0,7.0,6.5,0.0,0.0,0.7071067811865476,0.8136721958154073
t3b,gen0,memory and water,2,6.5,6.5,6.5,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.6340741147877272
t3b,gen1,memory and water,2,6.5,7.0,7.0,0.7071067811865476,0.0,0.0,0.8027052297312355
